i=365 x=-0,400633724842785; y=0,299153168993069
i=366 x=-0,398600233281161; y=0,30185734052397
i=367 x=-0,396490930071009; y=0,304622622881863
i=368 x=-0,394302043453604; y=0,307450644052525
i=369 x=-0,392029575545332; y=0,310343055178857
i=370 x=-0,389669287197236; y=0,313301526672307
i=371 x=-0,387216681831556; y=0,316327743505623
i=372 x=-0,384666988204465; y=0,319423399558809
i=373 x=-0,382015142047986; y=0,322590190870796
i=374 x=-0,379255766550383; y=0,325829807627051
i=375 x=-0,376383151643716; y=0,32914392468758
i=376 x=-0,373391232080956; y=0,332534190430196
i=377 x=-0,3702735643041; y=0,336002213649757
i=378 x=-0,36702330213091; y=0,339549548214871
i=379 x=-0,363633171323105; y=0,343177675138551
i=380 x=-0,36009544314586; y=0,346887981667838
i=381 x=-0,356401907090304; y=0,350681736938772
i=382 x=-0,352543843011836; y=0,354560063676729
i=383 x=-0,348511993042294; y=0,358523905347591
i=384 x=-0,344296533769922; y=0,362573988082457
i=385 x=-0,339887049355356; y=0,366710776608092
i=386 x=-0,335272506473865; y=0,37093442331864
i=387 x=-0,330441232254917; y=0,375244709524134
i=388 x=-0,32538089674242; y=0,379640977813379
i=389 x=-0,320078501836517; y=0,384122054381274
i=390 x=-0,314520379214767; y=0,388686160106839
i=391 x=-0,308692200379299; y=0,393330809147957
i=392 x=-0,302579002745146; y=0,39805269387074
i=393 x=-0,296165236571157; y=0,402847555095908
i=394 x=-0,289434838519386; y=0,407710036976351
i=395 x=-0,282371338662877; y=0,412633526390833
i=396 x=-0,274958008753051; y=0,417609977637696
i=397 x=-0,267178060350563; y=0,422629724543022
i=398 x=-0,259014901778796; y=0,427681283968004
i=399 x=-0,250452462437188; y=0,432751157201398
i=400 x=-0,241475591368373; y=0,437823638892756
i=401 x=-0,232070533592939; y=0,442880646944398
i=402 x=-0,222225482071169; y=0,44790159088603
i=403 x=-0,211931194892886; y=0,452863300159412
i=404 x=0,886586883504885; y=0,445352268892286
i=405 x=0,88535845032907; y=0,431555724931433
i=406 x=0,884386575569688; y=0,418373700614306
i=407 x=0,883658540105058; y=0,405775049538562
i=408 x=0,883162693123943; y=0,393730726921376
i=409 x=0,882888377733692; y=0,38221357077692
i=410 x=0,882825863103969; y=0,371198102629849
i=411 x=0,882966281810124; y=0,360660345020947
i=412 x=0,883301571046195; y=0,35057765346018
i=413 x=0,88382441636085; y=0,340928560862125
i=414 x=0,884528196537834; y=0,331692632876975
i=415 x=0,885406928208767; y=0,322850332924728
i=416 x=0,886455208768629; y=0,314382896165457
i=417 x=0,887668156189599; y=0,306272212105026
i=418 x=0,889041344430707; y=0,298500716043869
i=419 x=0,890570733359508; y=0,291051290113057
i=420 x=0,892252592478302; y=0,283907175171975
i=421 x=0,894083418313414; y=0,277051895305383
i=422 x=0,896059846089471; y=0,270469196968742
i=423 x=0,898178557237868; y=0,264143004886818
i=424 x=0,900436185289659; y=0,258057396513676
i=425 x=0,902829223628637; y=0,252196596151425
i=426 x=0,905353939239718; y=0,246544988714072
i=427 x=0,908006296791898; y=0,24108715172643
i=428 x=0,910781897016715; y=0,235807902680315
i=429 x=0,913675932372511; y=0,230692357603995
i=430 x=0,916683161554489; y=0,22572599589434
i=431 x=0,919797902770914; y=0,220894726278216
i=432 x=0,923014044155536; y=0,216184949228992
i=433 x=0,926325068485811; y=0,211583612137621
i=434 x=0,929724088680284; y=0,207078254800722
i=435 x=0,933203890380616; y=0,202657044092377
i=436 x=0,936756978198669; y=0,19830879782752
i=437 x=0,940375622779484; y=0,19402299867982
i=438 x=0,944051906538268; y=0,189789799548414
i=439 x=0,94777776664215; y=0,185600022004074
i=440 x=0,951545034436578; y=0,181445149451876
i=441 x=0,95534547101741; y=0,17731731650047
i=442 x=0,959170799012788; y=0,173209295796929
i=443 x=0,96301273087555; y=0,169114483324666
i=444 x=0,966862994120123; y=0,165026882906324
i=445 x=0,970713353992978; y=0,16094109042502
i=446 x=0,974555634066677; y=0,15685227808548
