i=550 x=1,49379280375959; y=0,521648520001021
i=551 x=1,52130796653308; y=0,476567059530104
i=552 x=1,55068521641071; y=0,431129275843918
i=553 x=1,58200122965973; y=0,385426366683122
i=554 x=1,6153310336079; y=0,339591161308536
i=555 x=1,65074119300964; y=0,29381288038863
i=556 x=1,68827770577666; y=0,248358112929568
i=557 x=1,72794452736918; y=0,2036010854292
i=558 x=1,76966501223827; y=0,160068043750755
i=559 x=1,81321105810983; y=0,118503371663319
i=560 x=1,85806830090499; y=0,0799694661598658
i=561 x=1,90316689797643; y=0,0459987801333172
i=562 x=1,94630566667594; y=0,0188244232407349
i=563 x=1,98277680572743; y=0,00173677630130328
i=564 x=2,00120151340887; y=0,000517688261806383
i=565 x=-0,417914030766763; y=6,41723165596513
i=566 x=-0,418649982753338; y=6,41632966922228
i=567 x=-0,419300391800227; y=6,41533566651777
i=568 x=-0,419869481737267; y=6,41425180234892
